rank,market_id,token_id,question,outcome,category,n_obs,same_day_corr,best_lag,best_lag_corr,abs_best_lag_corr,volume,trade_count
1,620022,50106861853001467302338274331473363154038812046793085791870045153044329708467,"Will Ethereum dip to $3,000 by December 31?",Yes,,45,-0.1309,-1,-0.8711,0.8711,1435411.07,0
2,701550,25173823610674151464837921239622169015398003212164561351016258082911701692316,"Will Ethereum dip to $2,500 by December 31, 2026?",No,,41,-0.2252,-1,0.8544,0.8544,5636.53,114
3,540433,35601964300918629410534992775359655988256358090026188931825170661272593755499,Will Solana reach $190 in May?,Yes,,31,0.0165,-1,0.8323,0.8323,1094523.42,3956
4,526235,81743422046267087963957157692271230864838885354769517674167389504464011265947,Will Solana hit $190 in March?,Yes,,31,-0.407,-1,0.8222,0.8222,1059993.19,0
5,540432,95652981575375231011183229554935207992910097561952857425950403594708694258153,Will Solana reach $210 in May?,Yes,,31,0.02,-1,0.7834,0.7834,986831.56,6278
6,703848,23994392280313791891060580561068903126770188553555623904693703718225652600564,Will Cameron Kasky be the Democratic nominee for NY-10?,Yes,,40,-0.0473,-2,-0.7529,0.7529,136.01,20
7,526240,9526099289770438243613233770274427619483652973224831677699088508031633821333,Will Solana dip to $110 in March?,No,,31,-0.2621,-1,0.746,0.746,1528029.31,0
8,574082,13963635407870843463224602268125010828803318703513373658979012425959402922301,Will Solana reach $240 before 2026?,No,,34,0.2123,-1,-0.742,0.742,62227.66,223
9,526193,106196944845085851093209198191419022865187632567921500860416240810949791163782,"Will Ethereum dip to $1,000.00 by March 31?",No,,31,-0.3234,-1,0.7302,0.7302,647894.48,0
10,540419,3661045579148375443215968308178855191160959441936740616605594932025223325439,Will Ethereum reach $3000 in May?,Yes,,31,-0.0973,-1,0.7263,0.7263,2141836.79,0
11,540397,1206886783070228445734267449948342262399908493845869497959083670296280863072,Solana Up or Down in May?,Up,,31,0.0513,-1,0.7233,0.7233,84508.73,603
12,501505,111905427939365288928218721594752964069713161802415009368184560055348754763570,Will the EPP win less than 150 seats in the European Parliament?,No,,37,0.5638,5,0.7221,0.7221,2696.75,0
13,253271,16251098678238187444529754457813240396936953207896144848622327702863879827466,"Will $ETH hit $2,000 or $2,500 first?",$2000,,36,0.1806,-1,-0.722,0.722,40408.99,0
14,704342,81570494091178357503526666519936162856983910471571392876927833773618320017228,Will Jason Duey be the Republican nominee for AZ-01?,No,,40,0.2485,-6,0.7198,0.7198,66.0,8
15,526233,110953596828737572755784169416789581413508034317002449376516277434185904146609,Will Solana hit $250 in March?,No,,31,0.5925,-1,-0.711,0.711,624561.57,0
16,526192,43714993334121638050246422344865591959340977198444139636149429387649047248072,"Will Ethereum dip to $1,500.00 by March 31?",No,,31,-0.1454,-1,0.7074,0.7074,1190608.07,0
17,561955,12221490099437403292477176683861006862746698474925969292582315016309355853773,Will Solana dip to $120 before 2026?,Yes,,161,-0.0144,-1,-0.706,0.706,501782.56,1878
18,526232,46421737054570249685964630958655249838081179870341344499312081413921450848067,Will Solana hit $300 in March?,No,,31,0.5487,-1,-0.7057,0.7057,826060.92,0
19,251813,56234151237094476119582365567547601151454339072712534288667034256990761862690,Will Donald Trump (@realDonaldTrump) tweet by September 30?,Yes,,36,0.0019,4,-0.7045,0.7045,44110.62,0
20,526241,112245857333754203629480016191912901605360638872396044950603311627253863572208,Will Solana dip to $100 by March?,No,,31,0.083,-1,0.7017,0.7017,927626.39,0
