market_id,token_id,question,outcome,category,n_obs,same_day_corr,best_lag,best_lag_corr,abs_best_lag_corr,volume,trade_count
703848,23994392280313791891060580561068903126770188553555623904693703718225652600564,Will Cameron Kasky be the Democratic nominee for NY-10?,Yes,,40,-0.0472965801256996,-2,-0.7528510164821423,0.7528510164821423,136.0101,20
501505,111905427939365288928218721594752964069713161802415009368184560055348754763570,Will the EPP win less than 150 seats in the European Parliament?,No,,37,0.5637770558642505,5,0.7221438012370484,0.7221438012370484,2696.75,0
704342,81570494091178357503526666519936162856983910471571392876927833773618320017228,Will Jason Duey be the Republican nominee for AZ-01?,No,,40,0.2485434491585582,-6,0.7197505659065984,0.7197505659065984,66.0,8
251813,56234151237094476119582365567547601151454339072712534288667034256990761862690,Will Donald Trump (@realDonaldTrump) tweet by September 30?,Yes,,36,0.0018611140080809,4,-0.7045108586390081,0.7045108586390081,44110.62,0
704453,50224055471780128707422366253813853918328866905983285601565982922855799741030,Will Brinker Harding be the Republican nominee for NE-02?,No,,39,-0.1199106642969805,3,0.6830200869044674,0.6830200869044674,151.0,30
530873,40285808636622979578664251672415951149728167842638169191193062237641064700146,Judge Boasberg holds Trump administration in contempt of court before May?,No,,36,-0.3606947385023749,3,0.6827045600062799,0.6827045600062799,4508.63474,61
581876,35750118268789634304573686678889611216750703866353165124702887504148577767986,Will Google be the second largest company in the world by market cap on September 30?,Yes,,33,0.0527233635485184,-3,-0.6814295603326931,0.6814295603326931,29937.432698,405
706048,98729208346670456130932053912356969152233902577896767492577029378882817595428,Will Jeff Criswell win the GA-14 special election?,No,,39,-0.1176469386468767,-1,0.6737360562669553,0.6737360562669553,114.29185,34
705796,63037428329752937471072657695645544382227245986124956996236439297983827462985,Will Trump talk to Zohran Mamdani in December?,No,,35,-0.235956800428162,-3,0.6716915101289439,0.6716915101289439,4295.646915,223
576088,81176605708289875058242003966363603827596460479207136045156806130407421622004,Will two people dissent the September Fed decision?,No,,33,-0.3652273864049112,3,0.6653007468634728,0.6653007468634728,22658.679733,0
716372,33582186904924750062472877625637670749697891613548940600912785705513467624089,Will turnout in the 2025 Honduran general election be between 70% and 75%?,No,,36,-0.4049124864954077,-2,0.664312884805894,0.664312884805894,20956.679513,0
501841,32652037787823906936067256940571977427305544571529992840226446593152146412101,Will Trump mention $MAGA before July?,No,,32,0.2205737024059669,-2,0.6619480783216344,0.6619480783216344,13760.52,0
618057,16640281134710328942667145946245876754727077933793021092819940795487003610183,"Will Trump say ""China Virus"" in October?",No,,31,0.3377809566060476,-1,0.6617414499568568,0.6617414499568568,18971.426438,0
252106,18867022974729479678888892008387128278033161896333350502719003065122856127586,Will Trump tweet again by Sep 30?,Yes,,33,-0.1042663611917596,1,-0.6614491565819763,0.6614491565819763,84.09,0
703847,25958198515725514458237487160392222169600619977906318106441986299434165352946,Will Alexa Avilés be the Democratic nominee for NY-10?,No,,40,-0.047316140260483,-2,0.6550228367541102,0.6550228367541102,228.446085,31
512350,90232684801552348614682823978499850247518870175352779407478306737797847417550,GOP wins popular vote by less than 1.5%?,Yes,,39,0.1201048951812996,-7,0.6519826749915522,0.6519826749915522,3747288.421336,0
519046,53230097138428698763756928965520679381768715863275575431310206236344994426600,Will Trump attend SpaceX Starship Flight Test 8?,No,,48,-0.6458613759097731,0,-0.6458613759097731,0.6458613759097731,22798.373328,0
534199,103380610649865867807285180501734524149309859092924517074773384363589423614630,Will Cho Kuk be elected the next president of South Korea?,Yes,,59,0.6424236989523859,0,0.6424236989523859,0.6424236989523859,720986.344995,0
512347,114389774107030743470883329319011050195641492560649669621869781876492622865124,GOP wins popular vote by 2.0-2.25%?,No,,39,0.2762204930505028,-2,0.6393862447095973,0.6393862447095973,932988.14161,0
251480,24842766552748344471109495861620350145347465269192160418313015054152221312418,Guatemala Presidential Election: Will Zury Ríos win?,No,,68,0.0529190365541313,-6,0.634613824611252,0.634613824611252,7121.38,0
252054,13617751444467385663504680960592149933224837218551123459509803346416216163025,Will Trump attend the second RNC debate?,No,,34,-0.0758520196077363,4,-0.6321310560936046,0.6321310560936046,18566.3,0
706083,10736926434302986558841348050604723050016832369761238191045942284117502122033,Will Christy Davis be the Democratic nominee for Senate in Kansas?,No,,39,-0.3327116255372699,-5,-0.6288000332231368,0.6288000332231368,38.7,25
706056,18999554868611454369924143280281941411043587499340228631265377851305581505025,Will Trey Kelley win the GA-14 special election?,Yes,,39,-0.0178464048491721,3,0.6258367311920259,0.6258367311920259,82.022181,30
539002,76723992154481990576162982733113370918567453974164409537266956351268214118445,Will the Liberal Party win between 35% and 38% of the vote in the 2025 Canadian election?,Yes,,39,-0.0827461636547811,-3,0.6256877109868927,0.6256877109868927,7013.313173,230
705791,76193151428587930916506566806353316965709732350161470564532017621352581793631,Will Trump talk to Jair Bolsonaro in December?,No,,35,0.6227927873970628,0,0.6227927873970628,0.6227927873970628,1416.623486,89
