market_id,token_id,n_obs,same_day_corr,abs_same_day_corr,price_level_corr,best_lag,best_lag_corr,abs_best_lag_corr,question,outcome,category,slug,event_slug,volume,trade_count,token_count,created_at,end_date,first_trade,last_trade
620022,50106861853001467302338274331473363154038812046793085791870045153044329708467,45,-0.13085972767552254,0.13085972767552254,-0.8962232655927769,-1,-0.8710915536928072,0.8710915536928072,"Will Ethereum dip to $3,000 by December 31?",Yes,,will-ethereum-dip-to-3000-by-december-31,what-price-will-ethereum-hit-in-2025,1435411.072348,0,2,2025-10-02 16:51:32,2026-01-01 05:00:00.000,,
701550,25173823610674151464837921239622169015398003212164561351016258082911701692316,41,-0.22521407819720263,0.22521407819720263,0.3602910823810707,-1,0.8544481354109906,0.8544481354109906,"Will Ethereum dip to $2,500 by December 31, 2026?",No,,will-ethereum-dip-to-2500-by-december-31-2026,what-price-will-ethereum-hit-before-2027,5636.532041,114,2,2025-11-24 19:21:38,2027-01-01 05:00:00.000,2025-11-27 09:43:49,2026-01-05 05:35:17
540433,35601964300918629410534992775359655988256358090026188931825170661272593755499,31,0.016522597093244037,0.016522597093244037,0.2952926103522092,-1,0.8322794741861698,0.8322794741861698,Will Solana reach $190 in May?,Yes,,will-solana-reach-190-in-may,what-price-will-solana-hit-in-may,1094523.420372,3956,2,2025-04-30 18:34:40,2025-05-31 12:00:00.000,2025-05-01 00:55:33,2025-06-01 05:56:07
526235,81743422046267087963957157692271230864838885354769517674167389504464011265947,31,-0.4069767072618351,0.4069767072618351,0.42060428677754197,-1,0.8222371881835961,0.8222371881835961,Will Solana hit $190 in March?,Yes,,will-solana-hit-190-by-march-31-2025,what-price-will-solana-hit-in-march,1059993.186591,0,2,2025-02-28 20:20:03,2025-03-31 12:00:00.000,,
540432,95652981575375231011183229554935207992910097561952857425950403594708694258153,31,0.019997222556919547,0.019997222556919547,0.04143807745075238,-1,0.7834246599553749,0.7834246599553749,Will Solana reach $210 in May?,Yes,,will-solana-reach-210-in-may,what-price-will-solana-hit-in-may,986831.557905,6278,2,2025-04-30 18:34:40,2025-05-31 12:00:00.000,2025-05-01 05:22:19,2025-06-01 04:14:23
703848,23994392280313791891060580561068903126770188553555623904693703718225652600564,40,-0.04729658012569969,0.04729658012569969,-0.02975810915745197,-2,-0.7528510164821423,0.7528510164821423,Will Cameron Kasky be the Democratic nominee for NY-10?,Yes,,will-cameron-kasky-be-the-democratic-nominee-for-ny-10,ny-10-democratic-primary-winner,136.0101,20,2,2025-11-25 18:41:40,2026-06-23 00:00:00.000,2025-11-26 06:36:05,2025-12-04 17:14:55
526240,9526099289770438243613233770274427619483652973224831677699088508031633821333,31,-0.26207805354253305,0.26207805354253305,0.16812660613314853,-1,0.746029727638375,0.746029727638375,Will Solana dip to $110 in March?,No,,will-solana-dip-to-110-by-march-31-2025,what-price-will-solana-hit-in-march,1528029.31282,0,2,2025-02-28 20:20:07,2025-03-31 12:00:00.000,,
574082,13963635407870843463224602268125010828803318703513373658979012425959402922301,34,0.21231058196007746,0.21231058196007746,0.5293186898232404,-1,-0.741993848298519,0.741993848298519,Will Solana reach $240 before 2026?,No,,will-solana-reach-240-before-2026-821-871-281-946-244,what-price-will-solana-hit-before-2026,62227.658595,223,2,2025-08-08 11:10:45,,2025-08-09 10:37:17,2025-09-12 12:50:25
526193,106196944845085851093209198191419022865187632567921500860416240810949791163782,31,-0.32341071022222867,0.32341071022222867,-0.1123094544270281,-1,0.7302126300648162,0.7302126300648162,"Will Ethereum dip to $1,000.00 by March 31?",No,,will-ethereum-dip-to-1000pt00-by-march-31,what-price-will-ethereum-hit-by-march-31,647894.476029,0,2,2025-02-28 18:32:50,2025-03-31 12:00:00.000,,
540419,3661045579148375443215968308178855191160959441936740616605594932025223325439,31,-0.09727569598489652,0.09727569598489652,0.37602841975224766,-1,0.7263047691648639,0.7263047691648639,Will Ethereum reach $3000 in May?,Yes,,will-ethereum-reach-3000-in-may,what-price-will-ethereum-hit-in-may,2141836.792572,0,2,2025-04-30 18:16:50,2025-05-31 12:00:00.000,,
