market_id,token_id,question,outcome,category,n_obs,same_day_corr,best_lag,best_lag_corr,abs_best_lag_corr,volume,trade_count
703848,23994392280313791891060580561068903126770188553555623904693703718225652600564,Will Cameron Kasky be the Democratic nominee for NY-10?,Yes,,40,-0.0472965801256996,-2,-0.7528510164821423,0.7528510164821423,136.0101,20
501505,111905427939365288928218721594752964069713161802415009368184560055348754763570,Will the EPP win less than 150 seats in the European Parliament?,No,,37,0.5637770558642505,5,0.7221438012370484,0.7221438012370484,2696.75,0
704342,81570494091178357503526666519936162856983910471571392876927833773618320017228,Will Jason Duey be the Republican nominee for AZ-01?,No,,40,0.2485434491585582,-6,0.7197505659065984,0.7197505659065984,66.0,8
251813,56234151237094476119582365567547601151454339072712534288667034256990761862690,Will Donald Trump (@realDonaldTrump) tweet by September 30?,Yes,,36,0.0018611140080809,4,-0.7045108586390081,0.7045108586390081,44110.62,0
704453,50224055471780128707422366253813853918328866905983285601565982922855799741030,Will Brinker Harding be the Republican nominee for NE-02?,No,,39,-0.1199106642969805,3,0.6830200869044674,0.6830200869044674,151.0,30
530873,40285808636622979578664251672415951149728167842638169191193062237641064700146,Judge Boasberg holds Trump administration in contempt of court before May?,No,,36,-0.3606947385023749,3,0.6827045600062799,0.6827045600062799,4508.63474,61
581876,35750118268789634304573686678889611216750703866353165124702887504148577767986,Will Google be the second largest company in the world by market cap on September 30?,Yes,,33,0.0527233635485184,-3,-0.6814295603326931,0.6814295603326931,29937.432698,405
706048,98729208346670456130932053912356969152233902577896767492577029378882817595428,Will Jeff Criswell win the GA-14 special election?,No,,39,-0.1176469386468767,-1,0.6737360562669553,0.6737360562669553,114.29185,34
705796,63037428329752937471072657695645544382227245986124956996236439297983827462985,Will Trump talk to Zohran Mamdani in December?,No,,35,-0.235956800428162,-3,0.6716915101289439,0.6716915101289439,4295.646915,223
576088,81176605708289875058242003966363603827596460479207136045156806130407421622004,Will two people dissent the September Fed decision?,No,,33,-0.3652273864049112,3,0.6653007468634728,0.6653007468634728,22658.679733,0
716372,33582186904924750062472877625637670749697891613548940600912785705513467624089,Will turnout in the 2025 Honduran general election be between 70% and 75%?,No,,36,-0.4049124864954077,-2,0.664312884805894,0.664312884805894,20956.679513,0
501841,32652037787823906936067256940571977427305544571529992840226446593152146412101,Will Trump mention $MAGA before July?,No,,32,0.2205737024059669,-2,0.6619480783216344,0.6619480783216344,13760.52,0
618057,16640281134710328942667145946245876754727077933793021092819940795487003610183,"Will Trump say ""China Virus"" in October?",No,,31,0.3377809566060476,-1,0.6617414499568568,0.6617414499568568,18971.426438,0
252106,18867022974729479678888892008387128278033161896333350502719003065122856127586,Will Trump tweet again by Sep 30?,Yes,,33,-0.1042663611917596,1,-0.6614491565819763,0.6614491565819763,84.09,0
703847,25958198515725514458237487160392222169600619977906318106441986299434165352946,Will Alexa Avilés be the Democratic nominee for NY-10?,No,,40,-0.047316140260483,-2,0.6550228367541102,0.6550228367541102,228.446085,31
