rebalance_date,market_id,token_id,n_obs,same_day_corr,best_lag,best_lag_corr,abs_best_lag_corr,best_lag_n,question,outcome,category,volume,created_at,end_date
2025-03-01,517310,4153292802911610701832309484716814274802943278345248636922528170020319407796,54,-0.24673510887603875,6,0.3933431637287077,0.3933431637287077,48,"Will Trump deport less than 250,000?",No,,884068.222684,2025-01-05 00:51:12,2025-12-31 12:00:00
2025-03-01,517313,32769749367306925959219403371425714180265458150646381231272229429098460625924,54,-0.22633433943009904,4,-0.37326616677786667,0.37326616677786667,50,"Will Trump deport 500,000-750,000- people?",No,,360653.975623,2025-01-05 00:55:07,2025-12-31 12:00:00
2025-03-01,516728,302273160494790559492931429044277112497487176914839291053945756072421867571,61,0.19071337749428588,6,-0.35833222941148,0.35833222941148,55,Will 5 Fed rate cuts happen in 2025?,Yes,,2253211.261375,2024-12-29 19:59:42,2025-12-10 12:00:00
2025-03-01,516872,95127172957892117780970143223263460656475089429444124822445842899956882270574,60,-0.21697178943004494,7,0.3567755407763824,0.3567755407763824,53,"Will Bitcoin dip to $50,000 by December 31, 2025?",No,,3612314.978418,2024-12-30 20:52:00,2025-12-31 12:00:00
2025-03-01,517310,101676997363687199724245607342877036148401850938023978421879460310389391082353,54,0.1893500608153821,6,-0.35656666183554836,0.35656666183554836,48,"Will Trump deport less than 250,000?",Yes,,884068.222684,2025-01-05 00:51:12,2025-12-31 12:00:00
2025-04-01,521534,113148290291463789255504637521624865087431170866862225412170403358665502455634,56,0.10728204264835924,6,0.5351702443436946,0.5351702443436946,50,Milei out as President of Argentina in 2025?,No,,441996.210579,2025-02-03 18:15:45,2025-12-31 12:00:00
2025-04-01,521534,57771526935422243481725500185144607935167419156024957620531836091147552392491,56,-0.1576712746940701,6,-0.5150140964598772,0.5150140964598772,50,Milei out as President of Argentina in 2025?,Yes,,441996.210579,2025-02-03 18:15:45,2025-12-31 12:00:00
2025-04-01,521945,22532055631814907447535815649879981046415248231878961745474659705989546420934,54,0.12663418790034536,2,-0.46618682753862756,0.46618682753862756,52,Will Elon and DOGE cut between $50-100b in federal spending in 2025?,Yes,,344142.959881,2025-02-05 22:34:29,2025-12-31 12:00:00
2025-04-01,521948,60573178197991590327120832143415406583517170365625050489007297367895074266641,54,0.1864367749820499,1,0.4242135482359536,0.4242135482359536,53,Will Elon and DOGE cut between $200-250b in federal spending in 2025?,Yes,,411710.002641,2025-02-05 22:34:30,2025-12-31 12:00:00
2025-04-01,516710,104173557214744537570424345347209544585775842950109756851652855913015295701992,82,0.30479372933614973,1,0.4028309953567953,0.4028309953567953,81,US recession in 2025?,Yes,,10599586.183755,2024-12-29 18:04:31,2026-02-28 12:00:00
