rebalance_date,market_id,token_id,n_obs,same_day_corr,best_lag,best_lag_corr,abs_best_lag_corr,best_lag_n,question,outcome,category,volume,created_at,end_date
2025-03-01,516728,302273160494790559492931429044277112497487176914839291053945756072421867571,61,0.19071337749428588,6,-0.35833222941148,0.35833222941148,55,Will 5 Fed rate cuts happen in 2025?,Yes,,2253211.261375,2024-12-29 19:59:42,2025-12-10 12:00:00
2025-03-01,516821,64608332692655386624219169603174714750740291631647562666654835455208498486268,60,-0.10511793050035946,7,-0.3431876569145063,0.3431876569145063,53,Will Apple be the largest company in the world by market cap on December 31?,Yes,,2249775.240758,2024-12-30 16:42:10,2025-12-31 12:00:00
2025-03-01,516728,71168072025438256100937333610884784661496543167790290367141049156834121296266,61,-0.06532334326477435,6,0.34156012792191526,0.34156012792191526,55,Will 5 Fed rate cuts happen in 2025?,No,,2253211.261375,2024-12-29 19:59:42,2025-12-10 12:00:00
2025-03-01,516845,17137141812849711591598123486432324476840490123658449118517519170911867215928,60,0.11239888027924155,6,-0.3298220870566092,0.3298220870566092,54,Will Amazon be the largest company in the world by market cap on December 31?,No,,4503063.961195,2024-12-30 17:31:16,2025-12-31 12:00:00
2025-03-01,516818,94850533403292240972948844256810904078895883844462287088135166537739765648754,60,0.07427313128768574,6,-0.32301998545987576,0.32301998545987576,54,Will NVIDIA be the largest company in the world by market cap on December 31?,Yes,,3464679.990958,2024-12-30 16:40:34,2025-12-31 12:00:00
2025-04-01,516710,104173557214744537570424345347209544585775842950109756851652855913015295701992,82,0.30479372933614973,1,0.4028309953567953,0.4028309953567953,81,US recession in 2025?,Yes,,10599586.183755,2024-12-29 18:04:31,2026-02-28 12:00:00
2025-04-01,521255,56738600572035832904895845056468792275697823297413384908752239327866518310010,59,-0.18136626173830123,3,-0.3673332232006192,0.3673332232006192,56,Will Trump & Elon reduce the deficit in 2025? ,Yes,,151428.445958,2025-01-31 21:33:10,2026-02-28 12:00:00
2025-04-01,516710,44528029102356085806317866371026691780796471200782980570839327755136990994869,82,-0.32902978263612725,1,-0.31234072094243925,0.31234072094243925,81,US recession in 2025?,No,,10599586.183755,2024-12-29 18:04:31,2026-02-28 12:00:00
2025-04-01,521255,63773739594775606083258239254748928077067768053882704658119720069071630213026,59,0.21826492048329052,3,0.255920219642001,0.255920219642001,56,Will Trump & Elon reduce the deficit in 2025? ,No,,151428.445958,2025-01-31 21:33:10,2026-02-28 12:00:00
2025-04-01,516727,66497712136360061394637670796773281770486705493678163278744913561923724550407,92,-0.12064299762736448,6,0.24376613272419465,0.24376613272419465,86,Will 4 Fed rate cuts happen in 2025?,No,,2976958.935779,2024-12-29 19:58:26,2025-12-10 12:00:00
2025-05-01,526940,90763775735072334232721122308159823862253607745688303273165611127345237443935,56,-0.20164245339390996,2,-0.32473804122605615,0.32473804122605615,54,Fed abolished in 2025?,No,,406164.167159,2025-03-05 22:58:15,2025-12-31 12:00:00
2025-05-01,526940,46950784014926930029762057529475355849676847783618488553665179149113870309123,56,0.20164245339390993,2,0.3247380412260561,0.3247380412260561,54,Fed abolished in 2025?,Yes,,406164.167159,2025-03-05 22:58:15,2025-12-31 12:00:00
2025-05-01,521255,56738600572035832904895845056468792275697823297413384908752239327866518310010,89,-0.03226848171674272,4,0.31053908346652437,0.31053908346652437,85,Will Trump & Elon reduce the deficit in 2025? ,Yes,,151428.445958,2025-01-31 21:33:10,2026-02-28 12:00:00
2025-05-01,516731,35428628589990747181456921610814206632405028717182760412162159083085892664954,122,0.046812105769216454,2,-0.25672059073887993,0.25672059073887993,120,Will 6 Fed rate cuts happen in 2025?,Yes,,2617042.127032,2024-12-29 20:36:57,2025-12-10 12:00:00
2025-05-01,516711,86651051340048717188016545368005905974650771288612142430184256026061526806964,122,0.1692139038740678,5,0.2508287536620175,0.2508287536620175,117,Fed emergency rate cut in 2025?,Yes,,1295898.101109,2024-12-29 18:06:53,2025-12-31 12:00:00
2025-06-01,533852,105930058973257231541968344608850561340243810890626279676144537957111954713629,58,-0.031224335518892928,4,0.5342008353025045,0.5342008353025045,54,5% GDP contraction in Q3 2025?  ,No,,350996.638223,2025-04-03 19:48:31,2025-10-30 12:00:00
